Name,Event Description
Action for Protection of Wild Animals(APOWA),environment disaster emergency prevention and control grassroots community development organisations agriculture protection activities for animals birds animal lovers artisans affected farmers farm labourers rural poor urban odisha
Bundel Khand Sewa Sansthan,social services environment disaster emergency prevention and control education research grassroots community development organisations international human rights peace law advocacy politics health sanitation agriculture adults blood donors children dalits affected farmers farm labourers girl child healthcare workers hiv homeless ngos plants rural poor students teachers tribals women youth madhya pradesh
CARING SOULS FOUNDATION,social services health sanitation healthcare workers hiv patients students teachers urban rural andhra pradesh
Centre for Development Education and Communications,education and research health sanitation consultancy services adults children elderly women urban rural tamil nadu
Centre for Development Service,social services disaster emergency prevention and control education research environment health sanitation agriculture adults children affected farmers farm labourers rural poor students tribals volunteers women youth odisha
Centre for Promotion of Social Concerns,social services law advocacy and politics adults children dalits disaster affected girl child legal workers medical practioners ngos physically challenged students teachers volunteers women youth urban rural tamil nadu
CHERRY BLOSSOMS SOCIETY,social services homes for children day care centres handicapped education and research the development housing adolescents elderly girl child mentally challenged ngos physically rural poor street students teachers volunteers women youth urban nagaland
Creation Welfare Society,social services environment employment and training agriculture adolescents adults dalits farmers farm labourers rural poor women youth urban bihar
END POVERTY,social services education and research environment recreation clubs employment training grassroots community development organisations libraries information centres archives agriculture consultancy adolescents adults artisans farmers farm labourers girl child ngos rural poor slum dwellers students tribals urban volunteers women youth bihar
Grameen Va Samajik Vikas Sanstha,social services accident victims adolescents adults animal lovers animals birds beggars children chronically ill construction workers dalits factory farmers farm labourers girl child juvenile migrants rural poor street urban volunteers women youth rajasthan
HOPE PUBLIC CHARITABLE TRUST(A unit of Social and Educational welfare trust),health homes for children the handicapped welfare and guidance activities mentally challenged urban rural tamil nadu
Ichapur BrahmanPara Silpa Niketan,social services education and research employment training environment health sanitation manufacturing adolescents adults children dalits elderly girl child hiv patients tribals women youth urban rural west bengal
ICHAPUR SOCIETY FOR THE WOMENS OWN IMAGE,social services environment adolescents children girl child healthcare workers ngos slum dwellers students tribals women youth urban rural west bengal
Institute of Social Development,social services environment grassroots community development organisations health sanitation adults animals birds children chronically ill elderly farmers farm labourers girl child healthcare workers hiv plants women youth urban rural uttarakhand
Jagabandhu Jarashram,social services consultancy grassroots community development organisations education and research homes for children day care centres handicapped disaster emergency prevention control environment health sanitation the aged international human rights peace protection activities animals birds recreation clubs recycling of non metal waste welfare guidance adults beggars blood donors dalits affected displaced persons elderly ethnic groups girl child healthcare workers hiv homeless juvenile mentally challenged migrants ngos organ orphans patients physically plants porters rickshawallahs drivers rural poor scavengers slum dwellers street students tribals urban volunteers war victims weavers women youth odisha
JEEVAN DEEP KALYAN SANSTHAN,social services consultancy children ngos salt workers rural bihar
MAHILA GRAMODYOG SEVA SAMITI,health law advocacy and politics sanitation adolescents adults children dalits girl child rural poor urban women youth uttar pradesh
Manthan The Achievement,social services recreation and clubs dramatic arts music other activities grassroots community development organisations health sanitation adults children girl child patients refugees rural poor slum dwellers students women youth urban west bengal
Midnapur Progressive SC/ST/ Minority Dev. Association,social services education and research homes for children environment health sanitation law advocacy politics dalits orphans physically challenged rural poor slum dwellers students tribals urban women west bengal
MODERN GRAMOUDHYOG SEWA SANSTHAN,social services ngos urban rural uttar pradesh
National Education Is Essential for Womens Society (NEEWS),health education and research law advocacy politics environment recreation social clubs disaster emergency prevention control employment training grassroots community development organisations sanitation agriculture welfare guidance activities for children adolescents adults girl child rural poor urban odisha
Pahal Initiative For Social Change Samiti,social services education and research disaster emergency prevention control homes for children grassroots community development organisations health sanitation adolescents beggars commercial sex workers girl child healthcare hiv juvenile mentally challenged migrants ngos orphans rural poor slum dwellers street students tribals urban volunteers women youth madhya pradesh
PARYAVARANA MITRA,environment law advocacy and politics disaster affected plants rural gujarat
Progati Sangha of Dara,social services construction homes for children education and research health sanitation adults dalits farmers farm labourers girl child homeless patients rural poor students women youth urban west bengal
Rural Educational Activities for Development,social services grassroots community development organisations education and research law advocacy politics clothing other material assistance environment construction disaster emergency prevention control recreation clubs housing employment training health sanitation homes for children the aged consultancy professional agriculture welfare guidance activities adolescents adults dalits affected domestic workers elderly ethnic groups farmers farm labourers girl child homeless migrants ngos orphans physically challenged plants rural poor slum dwellers street students tribals women youth urban odisha
SATYAKAM JAN KALYAN SAMITI,social services education and research employment training health sanitation adolescents adults children dalits elderly girl child rural poor tribals women youth madhya pradesh
Saurashtra Kamdar Kalyan Trust Rajkot,social services law advocacy and politics associations unions adults factory workers legal salt women youth urban rural gujarat
SGBS Unnati Foundation,social services employment and training consultancy adults girl child homeless orphans physically challenged rural poor slum dwellers students tribals urban women youth delhi
Shishu Sarothi (Centre for Rehabilitation & Training for Multiple Disability),social services health sanitation education and research homes for children day care centres handicapped employment training law advocacy politics consultancy adolescents adults chronically ill medical practioners physically challenged students women youth urban rural assam
"Shri  Nachiketa Kelvani Mandal, Devli",social services grassroots community development organisations education and research news media architectural engineering other technical activities environment consultancy business professional associations unions law advocacy politics clothing material assistance collection purification distribution of water construction health sanitation recreation clubs homes for children day care centres handicapped housing disaster emergency prevention control dramatic arts music employment training the aged international human rights peace manufacturing mid meals food sporting agriculture welfare guidance adults beggars blood donors commercial sex workers domestic farmers farm labourers girl child healthcare hiv homeless legal medical practioners migrants organ orphans patients physically challenged plants rural poor salt scavengers street students teachers truckers urban women youth gujarat
Shri Shah khimchand Lakshamichand Deaf and Dumb school trust,education and research homes for the handicapped health sanitation students urban rural gujarat
Society for Harmonious Renaissance of Ideas through Simple Technological Initiatives (SHRISTI),social services grassroots community development organisations tribals rural odisha
"The Action Northeast Trust (""the ant"")",social services law advocacy and politics disaster emergency prevention control grassroots community development organisations education research health sanitation agriculture welfare guidance activities for children adolescents adults affected displaced persons ethnic groups farmers farm labourers girl child healthcare workers homeless juvenile mentally challenged ngos rural poor students teachers tribals weavers women youth assam
The Sacred Heart Brothers,social services education and research construction homes for children development housing employment training environment grassroots community organisations health sanitation agriculture adolescents adults workers dalits domestic migrants rural poor slum dwellers street students teachers tribals urban women youth andhra pradesh
Vasundara Charitable Trust,social services dramatic arts music and other activities employment training development housing adults artisans artists beggars children disaster affected farmers farm labourers girl child hiv mentally challenged orphans physically street students teachers women youth urban rural andhra pradesh
WELDON TRUST,social services education and research recreation clubs homes for children day care centres handicapped disaster emergency prevention control employment training environment health sanitation grassroots community development organisations the aged housing consultancy adolescents blood donors dalits affected farmers farm labourers girl child healthcare workers hiv medical practioners mentally challenged physically rural poor street students tribals truckers volunteers women youth urban puducherry
AADHAR BAHUUDESHIYA SEVA BHAVI SANSTHA AURANGABAD,social services adults children urban rural maharashtra
ADARSH GRAMODYOG VIKAS SANSTHAN,social services environment grassroots community development organisations health sanitation employment and training education research it adolescents adults children farmers farm labourers students volunteers women youth urban rural uttar pradesh
ARJ Foundation,philanthropic intermediaries and voluntarism promotion consultancy services grassroots community development organisations education research law advocacy politics clothing other material assistance collection purification distribution of water environment disaster emergency prevention control recreation social clubs libraries information centres archives homes for children day care handicapped dramatic arts music activities employment training health sanitation the aged manufacturing mid meals food transport protection animals birds professional recycling non metal waste refugee associations unions sporting housing travel tourists welfare guidance accident victims adolescents adults animal lovers beggars blood donors chronically ill commercial sex workers construction dalits affected displaced persons domestic elderly factory farmers farm labourers girl child healthcare hiv homeless lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ orphans patients physically plants porters rickshawallahs drivers rural poor slum dwellers sportspersons students teachers urban volunteers women youth uttar pradesh
BHARTIYA MAHILA EVAM GRAMIN UTTHAN SANSTHAN,social services environment health sanitation adults children dalits farmers farm labourers girl child healthcare workers students women youth urban rural uttar pradesh
BLUE CROSS & BLUE CRESCENT SOCIETY,social services disaster emergency prevention and control international human rights peace organisations welfare guidance activities for children accident victims adults animal lovers animals birds armed forces blood donors commercial sex workers construction dalits affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile legal medical practioners mentally challenged migrants ngos organ orphans patients physically plants prisoners refugees rickshawallahs drivers rural poor salt scavengers slum dwellers sportspersons street students teachers tribals urban volunteers war weavers women youth andaman nicobar islands
CARE VILLAGE FOUNDATION (CVF),social services environment health sanitation disaster emergency prevention and control recreation clubs dramatic arts music other activities education research employment training adolescents adults children urban rural delhi
Centre for Education and Development Programmes Trust,social services employment and training education research nursing homes consultancy adults women youth urban rural maharashtra
Centre for Social Responsibility and Leadership,social services education and research rural poor students youth urban delhi
DARICHA FOUNDATION,culture and recreation social clubs education research libraries information centres archives artisans artists ethnic groups tribals weavers rural west bengal
Deoraje Organisation for Social Services,environment grassroots community development organisations recycling of non metal waste social services adults children girl child ngos women youth urban rural jharkhand
Gowthami Foundation,social services education and research environment development housing disaster emergency prevention control employment training grassroots community organisations health sanitation law advocacy politics architectural engineering other technical activities adolescents adults artisans children commercial sex workers dalits affected farmers farm labourers girl child healthcare hiv lesbian gays bisexuals transgender migrants patients physically challenged plants rural poor street students tribals women youth urban andhra pradesh
GRAMIN PUNARNIRMAN SANSTHAN,social services law advocacy and politics education research environment grassroots community development organisations health sanitation employment training agriculture protection activities for animals birds consultancy adults women youth rural uttar pradesh
India Youth for Society,environment law advocacy and politics employment training homes for the aged handicapped manufacturing health sanitation protection activities animals birds recycling of metal waste non social services accident victims adults animal lovers children elderly girl child urban poor volunteers women youth rural andhra pradesh
J & K STUDENTS WELFARE MISSION,education and research architectural engineering other technical activities recreation social clubs environment services health sanitation dramatic arts music employment training it consultancy adults artisans children elderly girl child healthcare workers ngos orphans patients rural poor students teachers tribals volunteers women youth urban jammu kashmir
JAN KALYAN EVAM GRAMIN UTTHAN SANSTHAN,social services grassroots community development organisations health sanitation adolescents adults artisans artists children dalits domestic workers elderly girl child healthcare rural poor students volunteers women youth urban uttar pradesh
JAN KALYAN SHIKSHAN PRASAR SAMITI,social services collection purification and distribution of water environment disaster emergency prevention control education research employment training health sanitation law advocacy politics transport activities welfare guidance for children adolescents adults dalits elderly girl child hiv orphans plants rural poor slum dwellers street women youth uttar pradesh
JAN LOK KALYAN PARISHAD,social services homes for children employment and training mid day meals food distribution protection activities animals birds refugee assistance welfare guidance adolescents adults farmers farm labourers girl child homeless juvenile migrants street students tribals volunteers women youth rural jharkhand
Jan Vikas Society,social services employment and training environment education research manufacturing consultancy children domestic workers migrants scavengers human slum dwellers street urban poor women youth madhya pradesh
KAI TATYASAHEB PATIL BAHUUDDESHIYA SEVABHAVI SANSTHA,education and research grassroots community development organisations health sanitation law advocacy politics consultancy services business professional associations unions collection purification distribution of water environment social recreation clubs libraries information centres archives disaster emergency prevention control employment training international assistance human rights peace architectural engineering other technical activities manufacturing mid day meals food it agriculture adolescents adults dalits affected displaced persons domestic workers factory farmers farm labourers healthcare legal medical practioners ngos orphans patients physically challenged plants rural poor street children students teachers tribals urban volunteers women youth maharashtra
LOK KALYAN MANDAL,social services grassroots community development organisations education and research law advocacy politics health sanitation adolescents adults commercial sex workers construction dalits disaster affected elderly farmers farm labourers girl child healthcare hiv ngos rural poor women youth himachal pradesh
LOK SEWA EVAM GRAMIN PRADYOGIKI VIKAS SANSTHAN,social services consultancy recreation and clubs education research employment training environment grassroots community development organisations health sanitation homes for children international human rights peace law advocacy politics libraries information centres archives adolescents adults beggars commercial sex workers domestic farmers farm labourers girl child homeless juvenile legal ngos organ donors plants rural poor salt street students urban volunteers war victims women youth uttar pradesh
Lok Vikas Samiti,social services education and research law advocacy politics environment disaster emergency prevention control employment training grassroots community development organisations health sanitation agriculture adolescents adults artisans children dalits elderly farmers farm labourers girl child juvenile physically challenged rural poor slum dwellers tribals urban youth uttar pradesh
MAITRI,health sanitation employment and training nursing homes welfare guidance activities for children adults blood donors chronically ill domestic workers elderly girl child healthcare hiv medical practioners mentally challenged patients tribals urban poor women youth rural jharkhand
MALANDKAR CHARITABLE TRUST,education and research social services consultancy adolescents adults children dalits elderly farmers farm labourers students women youth urban rural maharashtra
NANHI PARI FOUNDATION,health consultancy services adults children girl child patients women youth urban rural maharashtra
ORGANISATION FOR RURAL DEVELOPMENT,social services education and research homes for children environment health sanitation adults girl child rural poor students women youth tamil nadu
PANDIT JAGANNATH JOSHI CHARITABLE TRUST,social services consultancy law advocacy and politics employment training adults students women youth urban rural rajasthan
Parivartan Sandesh,social services education and research law advocacy politics environment consultancy adolescents adults children dalits farmers farm labourers girl child migrants ngos rural poor scavengers human slum dwellers street students teachers urban volunteers women youth bihar
POVVER,development and housing homes for children the aged consultancy services adults elderly orphans rural poor women youth urban tamil nadu
Research and Development of Minority and Rural Community (RNDMRC),social services health sanitation education and research collection purification distribution of water environment homes for children employment training adolescents adults artists beggars blood donors disaster affected displaced persons elderly ethnic groups farmers farm labourers firemen girl child homeless juvenile ngos patients physically challenged rural poor teachers tribals women youth urban assam
RUPRANI FOUNDATION,health education and research adults animals birds children construction workers women youth urban rural uttar pradesh
S.P. Seva Sansthan,social services grassroots community development organisations animal lovers animals birds beggars children construction workers girl child healthcare legal ngos plants rural poor salt street students urban volunteers women youth rajasthan
SAMUHIK UTTHAN SEWA SAMITI,social services environment health sanitation education and research it adults children women youth urban rural uttar pradesh
SANGLI MISSION SOCIETY,social services education and research health sanitation homes for children the aged development housing agriculture consultancy welfare guidance activities adolescents adults chronically ill disaster affected elderly girl child hiv juvenile mentally challenged orphans patients physically plants rural poor street students teachers women youth urban maharashtra
Savera Society for Human Initiatives,social services employment and training environment grassroots community development organisations health sanitation education research consultancy welfare guidance activities for children adolescents adults girl child rural poor slum dwellers urban women youth uttar pradesh
Serve the Society for Empowerment and Women Advancement,social services education and research environment recreation clubs employment training manufacturing agriculture adolescents adults artisans children dalits elderly farmers farm labourers girl child healthcare workers migrants ngos physically challenged rural poor street students tribals women youth jharkhand
Social Action For Knowledge Building And Awareness Raising,social services education and research accident victims adults children dalits elderly girl child women youth rural uttar pradesh
SRIJAN FOUNDATION,social services agriculture adolescents children commercial sex workers girl child juvenile migrants physically challenged rural poor street tribals urban women youth jharkhand
SURABHI FOUNDATION TRUST,social services employment and training environment homes for children the aged education research health sanitation welfare guidance activities adults elderly girl child orphans rural poor slum dwellers street students teachers tribals urban women karnataka
SURYODAY TRUST,education and research dramatic arts music other activities health sanitation children mentally challenged urban poor rural maharashtra
SWAMI VIVEKANAND VIDYA PRATISHTHAN,health education and research employment training sanitation consultancy services adults children healthcare workers patients rural poor students teachers women youth urban maharashtra
VALMIKI DHARM SAMAJ,social services adults women youth rural gujarat
