Name,Description
Gramin Samajik Vikas Samiti-Barh,social services urban rural bihar adolescents adults
GURUDATTA SHIKSHAN PRASARAK MANDAL,education and research rural maharashtra children girl child orphans rural poor street children students
GURUDEV FOUNDATION WASHIM,education and research urban rural maharashtra adults artisans artists blood donors children commercial sex workers dalits domestic workers farmers farm labourers girl child hiv homeless juvenile legal workers medical practioners ngos orphans policemen prisoners rural poor street children students teachers tribals urban poor women youth
GYAN SWAROOP WELFARE SOCIETY,social services urban rural all india adults
HARINGHATA SAPHALYA DEVELOPMENT SOCIETY,social services urban rural west bengal adults children dalits farmers farm labourers girl child healthcare workers plants students tribals women youth
HEALTH & ECO DEFENCE - SOCIETY,social services urban rural all india adults
Hill People's Development Council,social services urban rural manipur children youth
Hind Hope Society,social services urban rural rajasthan beggars children dalits elderly girl child mentally challenged physically challenged women youth
Howrah Suparna,social services urban rural west bengal children women youth
HUBRAJI JAN KALYAN SAMITI,social services urban rural uttar pradesh children healthcare workers students women
INDIAN PROGRESSIVE YOUTH FORUM,social services urban rural uttar pradesh accident victims adolescents adults animal lovers farmers farm labourers healthcare workers mentally challenged rural poor street children students urban poor volunteers women youth
Institute of Social Research and Development,social services urban rural all india adults
INSTITUTIONAL EXCELLENCE FORUM,education and research urban rural all india girl child students teachers youth
Jagriti Seva Sansthan,social services urban rural uttar pradesh children girl child women youth
Jagrook Mahila Sanstha Parcham,social services rural uttar pradesh adults
Jai Narayan Sarvodaya Vidyalaya Samiti,social services urban rural madhya pradesh adults
JAN ASTHA,social services rural jharkhand dalits disaster affected farmers farm labourers
Jan Sahyog Sewa Kendra,social services urban rural jharkhand adults
Jan Shikshan Sansthan,education and research urban rural maharashtra adolescents adults artists blood donors children construction workers dalits domestic workers factory workers farmers farm labourers healthcare workers hiv ngos orphans rickshawallahs drivers rural poor scavengers human slum dwellers street children students teachers tribals urban poor women youth
Jan Uththan Development Research Foundation,social services urban rural gujarat adults
Janmangal Sansthan M P,social services urban rural all india adults
JEEVAN GYAN TRUST,education and research urban rural all india adults girl child
JEEVAN VIKAS SANSTHA PAITHAN,health rural maharashtra accident victims adolescents adults animal lovers children elderly women youth
JEEVANDHARA BAHUUDDESHIY SANSTHA,social services urban rural maharashtra accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters refugees rickshawallahs drivers rural poor scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers weavers women youth
JIBAN BIKASH,social services urban rural odisha adults children women youth
Jyot Bahuudeshya Samajik Sanstha,social services urban rural maharashtra adults women youth
KADAMBARI WELFARE SOCIETY,social services urban rural all india adults
Kai.Sau.Kusumbai Balkrushna Wani Sarvajanik Vachanalay,social services rural maharashtra adults artists elderly girl child students women youth
Kala Bikash Parishad,social services urban rural odisha adults women youth
Kalyani Life Institute,education and research urban rural west bengal children mentally challenged physically challenged urban poor
Kamta Cyclone Club,social services urban rural west bengal adults children women youth
KARMAWATI PAL MEMORIAL SOCIETY,social services urban rural uttar pradesh adolescents adults women youth
Kartavya Shikshan Va Sewa Samiti,social services urban rural all india children students youth
KAUSHIKI FOUNDATION,social services rural jharkhand children dalits elderly farmers farm labourers physically challenged
KOKAN INTERNATIONAL,education and research rural maharashtra adults children rural poor women youth
KOLKATA SHILPOBHUMI,culture and recreation urban rural west bengal adults
Koshish Foundation,social services urban rural gujarat adults children women youth
Kuzhithurai Integral Development Social Services Trust,social services urban rural tamil nadu adolescents adults artisans children dalits disaster affected displaced persons domestic workers elderly farmers farm labourers healthcare workers mentally challenged migrants physically challenged rural poor urban poor women youth
Ladakh Educational and Social Development Organisation,social services urban rural jammu and kashmir adolescents women youth
LANTERN CHARITABLE TRUST,social services urban rural all india accident victims adolescents adults animal lovers animals birds blood donors children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers girl child healthcare workers hiv homeless juvenile legal workers mentally challenged migrants ngos organ donors orphans patients physically challenged plants rural poor street children students tribals truckers urban poor volunteers women youth
LOK KALYAN JAN SABHA,social services urban rural all india adults
Lok Shahir Annabhau Sathe Sanskratik Natya Mandal,social services urban rural maharashtra adults artisans artists children girl child women youth
LOK VIKAS SAMITI,social services urban rural rajasthan adults
LOKRAJYA SAMAJ VIKAS VA SANSHODHAN SANSTHAN AURANGABAD,social services urban rural maharashtra adults
Maa Sharda Bahuuddeshiya Association,education and research urban rural maharashtra children dalits girl child hiv street children students women youth
MAHAMAYA SHIKSHA EVAM SAMAJ KALYAN SAMITI,social services urban rural madhya pradesh children students
MAHILA UTTHAN,social services urban rural uttar pradesh women
MAHILA VA BAL VIKAS BAHUDDESHIYA SEVABHAVI SAMAJIK SANSTHA,social services urban rural maharashtra children girl child women
Mahila Vikas Va Shishu Sanskar Kendra,social services urban rural maharashtra children women
MAHILAEN PRAGATI KI ORE,social services urban rural delhi women
"Markaz-E-Adab-O-Science (Centre for Literature, Comparative Religion, Career Guidance and Training)",social services urban rural jharkhand adolescents adults women youth
MASTER WELFARE ASSOCIATION RAJURA,social services urban rural all india adults
MATOSHRI SEVA PRATISHTHAN GANGAKHED,social services urban rural maharashtra adults children
Midnapore Cultural and Welfare Association,social services rural west bengal artisans children farmers farm labourers plants tribals women youth
Mission Heal,social services urban rural all india children women
Mission Smile,health urban rural west bengal adolescents adults children
Mokshda Paryavaran Evam Van Suraksha Samiti,social services urban rural all india plants
Mother Concern,social services urban rural all india women
MUHAMMADIYA EDUCATIONAL AND CHARITABLE TRUST,education and research rural maharashtra children street children students
Mukti Niketan Bhagalpur,social services urban rural bihar adults children
NABAJYOTI CHARITABLE TRUST,social services urban rural odisha adults children elderly women youth
NAG FOUNDATION,health urban rural maharashtra patients
Narendra Gramin Vikas Sansthan,social services urban rural uttar pradesh women
National Coalition for Education,education and research urban rural all india adolescents children dalits girl child ngos orphans physically challenged rural poor street children students teachers
NATIONAL FRIENDS ASSOCIATION,social services urban rural maharashtra adults children elderly women youth
NAV JYOTI JAN KALYAN SAMITI,social services urban rural uttarakhand adults
NAYEE PARAKH,social services urban rural bihar adults children women youth
Nehru Yuva Samajik Samarasata Seva Samiti,social services urban rural uttar pradesh adolescents children farmers farm labourers women youth
NIRAMAY,social services urban rural maharashtra children women youth
Nirbal Sewa Samiti,social services urban rural uttar pradesh adults
Om Sairam Bahuuddeshiya Sevabhavi Sanstha Nalwandi,social services urban rural maharashtra adolescents adults
"ORISSA RURAL SPORTS, HEALTH AND EDUCATIONAL DEVELOPMENT WELFARE SOCIETY",health urban rural odisha accident victims adults beggars blood donors children farmers farm labourers girl child healthcare workers homeless orphans patients physically challenged plants rural poor street children students teachers women youth
PAROPKAR FOUNDATION,social services urban rural madhya pradesh adults children elderly women youth
PAUL INDIA MISSION,social services urban rural delhi adults children
Plan to Empower,social services urban rural all india accident victims adolescents adults animals birds artists beggars children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers firemen girl child healthcare workers hiv homeless mentally challenged migrants ngos orphans patients physically challenged plants refugees rickshawallahs drivers rural poor slum dwellers street children students teachers tribals urban poor weavers women youth
Pragati Sevabhavi Sanstha Padli,social services urban rural maharashtra adults
PRAGATI YUVA VIKASH KENDRA,social services urban rural madhya pradesh youth
Pratham Foundation,social services urban rural all india adults children women youth
PRAYAS EDUCATIONAL &TECHNICAL TRAINING DEVELOPMENT SOCIETY,social services urban rural jharkhand adolescents adults animals birds beggars blood donors children construction workers dalits disaster affected domestic workers elderly factory workers farmers farm labourers freedom fighters girl child healthcare workers medical practioners mentally challenged ngos orphans patients physically challenged rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals urban poor volunteers weavers women youth
PREMASREE,social services rural west bengal children physically challenged
PUKAR FOUNDATION,social services urban rural all india adults
PUNARUTHAN VOLUNTARY ORGANISATION,social services rural odisha rural poor youth
Purulia District Agragami Mahila O Sisu Mangal Samiti,social services urban rural west bengal adolescents adults children commercial sex workers disaster affected elderly girl child healthcare workers hiv rural poor women youth
R S N V FOUNDATION (TRUST),social services rural tamil nadu children displaced persons elderly girl child hiv mentally challenged orphans physically challenged street children women
Ra Foundation,social services urban rural maharashtra adolescents children girl child juvenile orphans slum dwellers street children students tribals urban poor youth
RAJABAI SATHE MAHILA MANDAL,social services urban rural maharashtra adults dalits disaster affected elderly hiv students tribals women youth
Rajrani Manav Kalyan Sansthan,social services urban rural uttar pradesh children youth
RAMAKRISHNA SEWA SANSTHAN,environment rural uttar pradesh animal lovers
Relief India Trust,social services urban rural all india children hiv 
ROGAY CHARITIES NO.1,social services rural maharashtra beggars children dalits tribals
Rudragni Creative & Classical Dance Academy,culture and recreation urban rural all india artists
S.B.DEVI CHARITY HOME,social services urban rural west bengal children elderly girl child healthcare workers hiv women youth
SADBHAWANA SEWA EVAM SHIKSHA SANSTHAN,social services urban rural uttar pradesh children girl child youth
SAFE HANDS REHABILITATION SOCIETY,health urban rural punjab accident victims adolescents adults animals birds artisans artists blood donors children elderly farmers farm labourers girl child healthcare workers hiv homeless legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos patients physically challenged prisoners rural poor sportspersons street children students teachers tribals urban poor volunteers women youth
SANDESH,social services urban rural karnataka children physically challenged
Sankalp Sewa Sansthan,social services urban rural uttar pradesh adults children women youth
SANT GADGEBABA SWAYAM SEVI SANSTHA,social services urban rural maharashtra adults children women youth
Santipur Computer Institute,social services urban rural west bengal children women youth
Scientific Educational Development for Community Organisation (SEDCO),social services urban rural tamil nadu adolescents adults artisans commercial sex workers disaster affected elderly farmers farm labourers girl child hiv students women youth
Score More Foundation,education and research urban rural all india artists children dalits girl child ngos sportspersons students teachers urban poor women youth
SEVA ASHARAM,social services urban rural all india adults
"Seva Foundation,Dhule",social services urban rural maharashtra children dalits rural poor tribals women
SHANTI BAHUUDDESHIYA SEVABHAVI SANSTHA,social services urban rural maharashtra children women youth
Shanti Maitree,social services urban rural odisha dalits
SHARDA SEWA SANSTHAN,social services urban rural uttar pradesh adolescents adults children dalits farmers farm labourers girl child hiv juvenile rural poor tribals urban poor women youth
SHASHWATA SUCHETANA GRAMIN PATHAGAR,social services urban rural all india adults
Shri Adinath Sevabhavi Va Vikas Sanstha,social services urban rural maharashtra adults elderly girl child women youth
SHRI B C BHALSHANKAR GURUJI KRIDA VA SHIKSHAN PRASARAK PRATISHTHAN,social services urban rural maharashtra adults
Shri Gayatridevi Shaikshanik Bahuuddeshiy Sanstha,social services urban rural maharashtra adults children women youth
Shri Sant Namdev Maharaj Bahuddeshiya Sanstha,social services urban rural maharashtra adults women youth
SHRI SARVADNYA FOUNDATION,social services urban rural maharashtra adults children elderly women youth
SHRI SHAKTI KHADI GRAMODHYOG SANGH,social services urban rural all india adults
SHRI SWAMI SAMRTHA BAHUUDESHIYA SANSTHA KUSUMBE,social services urban rural maharashtra adults
Siddheshwar Krishi va Gramin Vikas Sanstha,social services rural maharashtra rural poor
SMARTPRO FOUNDATION,social services urban rural delhi adults artisans children disaster affected elderly girl child students teachers women youth
SNEHA DEEP TRUST FOR THE DISABLED,education and research urban rural karnataka adolescents adults children mentally challenged physically challenged students women
Snehal Dnyansagar Shikshan Prasarak Mandal,social services urban rural maharashtra adults children elderly girl child women youth
Social Association of Network Voluntary Actions and Development (SANVAD),social services urban rural maharashtra adults
Society for Children and Women Development,social services urban rural tamil nadu adolescents adults children construction workers disaster affected elderly girl child plants rural poor students teachers tribals women youth
SOCIETY FOR MOVEMENT OF HUMAN AND DEMOCRATIC RIGHTS,social services urban rural west bengal adults children farmers farm labourers students youth
"Society for Networking, Empowerment and Holistic Action",social services urban rural delhi adults children elderly girl child women youth
SOCIETY FOR PEOPLE'S EDUCATION & ECONOMIC CHANGE,social services urban rural andhra pradesh adults
SOFTECH COMPUTER EDUCATION,education and research urban rural jharkhand adolescents
SRI ACHYUTA AKALIT SEBA SANGHA (SAASS),social services urban rural odisha adults children healthcare workers hiv plants women
Srishti Seva Sansthan,social services urban rural uttar pradesh children farmers farm labourers healthcare workers students women
STPN TRUST,education and research rural west bengal children street children students
Sujagriti Samaj Sevi Sanstha,social services urban rural madhya pradesh tribals
SURAJ EDUCATIONAL TRUST,social services urban rural tamil nadu adults
Swami Vivekananda Sarvajanik Vachanalaya Va Granthalay,social services urban rural maharashtra adults children women youth
SWAR SANGEET SHIKSHAN PRASARAK MANDAL,social services urban rural maharashtra adults
SWARAJYA BAHUUDESHIYA SEVABHAVI SANSTHA,education and research urban rural maharashtra children girl child women
SWARD,social services urban rural telangana adults children
The Rising Star Charitable Trust,social services urban rural maharashtra adults children elderly women youth
THE SOCIETY FOR PHYSICALLY HANDICAPPED,social services urban rural all india physically challenged
Thinking Hearts Foundation,social services urban rural maharashtra adults children elderly women youth
TULJABHAVANI BAHUUDDESHIYA SHIKSHAN PRASARAK MANDAL,social services rural maharashtra children farmers farm labourers ngos plants rural poor students women youth
Unnat Bharat Vikas,social services rural haryana beggars children dalits rural poor women youth
VASUNDHARA SEVARTH SAMAJIK SANSODHAN ANI VIKAS SEVA SANSTHA,social services urban rural maharashtra adults children chronically ill elderly farmers farm labourers girl child healthcare workers hiv women youth
VIDYADAAN TRUST,education and research urban rural all india girl child physically challenged rural poor students teachers urban poor youth
VIKALP,social services urban rural all india adults
VINIYOG GRAMODYOG SANSTHAN SAMITI,social services urban rural uttar pradesh adults children elderly women youth
"VISHWA SAMVAD KENDRA, JHARKHAND",social services urban rural jharkhand adults
VISION RESCUE,social services urban rural maharashtra adolescents adults children girl child patients physically challenged slum dwellers street children students teachers urban poor women youth
VISTAR FOUNDATION,social services urban rural all india adults
Work for Equality,social services rural maharashtra adults children chronically ill dalits elderly girl child hiv homeless patients women youth
World Road Church Ministry (WRCM),social services urban rural manipur adults
YESHWANTRAO CHAVAN SAMAJ VIKAS PRATISHTHAN LATUR,education and research urban rural maharashtra adults children elderly women youth
YUVA SANKALP,social services urban rural all india youth
Yuwa Gram Vikas Mandal,social services urban rural maharashtra accident victims adults animal lovers animals birds artisans beggars blood donors children commercial sex workers displaced persons domestic workers elderly ethnic groups girl child hiv homeless juvenile legal workers mentally challenged ngos orphans patients physically challenged plants refugees rural poor students volunteers women youth
ZEAL WELFARE SOCIETY,social services urban rural all india adults
ZENITH WELFARE SOCIETY,social services urban rural all india adults
Aasha Samajik Vikas Sanstha,social services urban rural maharashtra adults women youth
ADARSA SIKSHYA KENDRA,social services urban rural odisha adults women youth
AHWAN,social services urban rural odisha adults
AKHIL BHARTIYA NIRBAL KALYAN SAMITI,social services urban rural all india animal lovers animals birds farmers farm labourers
ALL INDIA SOCIETY FOR ADVANCE EDUCATION RESEARCH,social services urban rural all india adults
Amine Shariat Education Trust,education and research urban rural gujarat adolescents
AMIT SEVABHAVI SANSTHA,social services urban rural maharashtra adults children women youth
AMMA RESEARCH CENTER,social services urban rural jharkhand adults
Anand Gramin Vikas Pratishthan,social services urban rural maharashtra adults women youth
Ankit Anusuchit Samaj Kalyan Technical Nari Utthan Evam Shikshan Sansthan,social services urban rural uttar pradesh adults children elderly women youth
ANKUR SAMAJIK SANSTHA,social services urban rural maharashtra adults women youth
Arpit Seva Sansthan,social services urban rural uttar pradesh adults women youth
ASHA MAHILA KALYAN SEWA SAMITI,social services urban rural uttar pradesh girl child women
ASMITA SEVA PRATISHTHAN,social services urban rural maharashtra adults children women youth
Association for Rural Area Social Modification Improvement and Nestling,environment rural odisha adults
Atodar Gramodyog Sewa Mandal,social services urban rural uttar pradesh adults women youth
"AUM EDUCATION AND CHARITABLE TRUST, GODHRA",education and research rural gujarat tribals
AXIOM SOCIAL SERVICE SOCIETY,social services urban rural tamil nadu adults
Bal Umang Drishya Sanstha,social services urban rural delhi adolescents adults children women youth
BARKAATI EDUCATIONAL TRUST,social services urban rural uttar pradesh adolescents youth
BARUIPUR MULTI DEVELOPMENT SOCIETY FOR SOCIAL WELFARE,social services urban rural west bengal adults
Berhampore Minority And Community Development Service,social services rural west bengal adults
BHAKTI DHARA FOUNDATION,social services urban rural all india adults
BHARTIYA GRAMEEN VIKAS SANSTHAN,social services urban rural uttar pradesh adults women youth
BHARTIYA MANAV KALYAN SAMITI,social services urban rural uttar pradesh adults students teachers women youth
BHUMI BAHUUDESHIYA SEWA BHAVI SANSTHA,social services urban rural maharashtra adults children women youth
Birbhum District Netball Association,social services rural all india adolescents adults
BITAN INSTITUTE FOR TRAINING AWARENESS AND NETWORKING,social services urban rural west bengal adults
Chetana Bahuuddeshiya Sanstha,social services urban rural maharashtra adults children women youth
Chhachanpur Adibasi Mahila Vikash Samity,social services urban rural west bengal women
CINEMATIC FOUNDATION OF INDIA (CFI),social services urban rural west bengal adolescents adults children disaster affected factory workers farmers farm labourers girl child healthcare workers homeless ngos rickshawallahs drivers rural poor slum dwellers street children tribals urban poor volunteers women youth
COMMUNITY AID TRUST,social services urban rural all india accident victims adolescents adults animal lovers animals birds beggars blood donors children chronically ill commercial sex workers dalits disaster affected displaced persons factory workers farmers farm labourers girl child healthcare workers homeless juvenile legal workers mentally challenged migrants ngos physically challenged plants rural poor scavengers human street children tribals urban poor volunteers women youth
COMMUNITY AND RURAL EDUCATION SOCIETY (CARES),social services urban rural andhra pradesh adults children women youth
Comprehensive Rural Tribal Welfare Development Programme,development and housing rural maharashtra adults beggars children dalits disaster affected farmers farm labourers girl child healthcare workers hiv homeless migrants ngos plants rickshawallahs drivers rural poor slum dwellers tribals women youth
DHARTIMATA EDUCATION SOCIETY,education and research urban rural maharashtra adolescents adults dalits farmers farm labourers rural poor slum dwellers students women youth
DIGITAL EDUCATION SOCIETY,social services urban rural uttar pradesh adults
Dr. Bhimrao Ambedkar Kustha Sewa Sansthan,social services urban rural uttar pradesh women
Ekantika,social services urban rural jharkhand adults
Entrepreneurship Training and Rural Development Initiatives Society,social services urban rural punjab adults dalits girl child rural poor students teachers urban poor women youth
Gania Sishu Raija,social services urban rural all india adults
GENIUS EDUCATIONAL WELFARE SOCIETY,social services urban rural uttar pradesh adults women youth
Grameen Bauddha Kalyan Seva Sansthan,social services urban rural uttar pradesh adults women youth
Gramin Mahila Audyogik Vikas Ani Bal Kalyan Pratishthan,social services urban rural maharashtra adults
Gramin Mahila Vikas Parishad,social services urban rural uttar pradesh children dalits disaster affected hiv women youth
HAZINAGAR ORGANIZATION FOR GLOBAL DISASTER MANAGEMENT,social services urban rural all india adults children dalits disaster affected displaced persons women youth
HELP LINE ASSOCIATION,social services urban rural odisha adults
HIND YUVA SHAKTI,social services urban rural bihar animal lovers blood donors rural poor sportspersons students teachers urban poor volunteers women youth
HOWRAH GREEN WORLD,social services urban rural west bengal adults
Human Improvement and Development Society,social services urban rural all india adults
Indian Women And Children Foundation,social services urban rural maharashtra adolescents adults children farmers farm labourers girl child rural poor slum dwellers sportspersons students teachers tribals urban poor women
Institute For Integrated Rural Development,social services urban rural maharashtra adults women youth
Jagrani Foundation,social services urban rural meghalaya accident victims adolescents adults animal lovers animals birds blood donors children girl child ngos rural poor urban poor women youth
JAGRITI GUMLA,social services urban rural jharkhand adults
JAHNVIS MULTI FOUNDATION,education and research urban rural maharashtra adults children women youth
JAI KALI SANSKRUTIK MANDAL KANNAD,social services urban rural maharashtra adults women youth
JAIN YUVA MANDAL,social services urban rural punjab youth
JANA SANSKRITI CENTRE FOR THEATRE OF THE OPPRESSED,social services rural chhattisgarh adults artists children dalits farmers farm labourers girl child ngos rural poor students teachers tribals volunteers women youth
Jangoraitad Adivasi Vikas Sanstha,social services rural maharashtra tribals
Janseva Gramin Vikas Va Shikshan Pratishthan,social services urban rural maharashtra adolescents adults children farmers farm labourers girl child homeless physically challenged street children students tribals women youth
JAY PRABHA GRAMIN VIKAS MANDAL,social services urban rural maharashtra adults women youth
JEEVAN VAHINI SAMAJIK SUDHAR SAMITI,education and research urban rural uttar pradesh accident victims adolescents adults animals birds artists beggars blood donors children dalits domestic workers factory workers farmers farm labourers girl child hiv juvenile legal workers mentally challenged rickshawallahs drivers rural poor sportspersons street children students tribals urban poor volunteers weavers women youth
JHARKHAND SWABHIMAN RANCHI,social services urban rural jharkhand adults children elderly girl child hiv orphans plants rural poor students tribals women
JIBAN BIKASH,social services urban rural odisha adults
JNANA-DEEP CHARITABLE SCHOOL TRUST,social services urban rural karnataka adults children women youth
KALP SAMAJSEVI SANSTHA,social services rural chhattisgarh children commercial sex workers dalits farmers farm labourers girl child hiv rural poor students tribals women youth
Kalpayog Bahuuddeshiya Sevabhavi Sanstha,social services urban rural maharashtra adults women youth
KAYAKALP,social services urban rural west bengal adults
KHUSHI,social services urban rural odisha adults animal lovers animals birds artisans artists children disaster affected students women youth
Kohinoor Mahila Mandal,social services urban rural maharashtra adults women youth
KORNIK,social services urban rural jharkhand adults
KRIDA SANJEEVANI,social services urban rural maharashtra adults children women youth
"Krushnakath Social Foundation,Bhilawadi",social services rural maharashtra adults
Kusum Ayurved Research And Development Foundation,social services urban rural all india adults
Life Care Society,health urban rural uttarakhand adolescents adults children elderly patients rural poor urban poor women youth
"LIGHT ORGANISATION FOR RURAL DEVELOPMENT (LORD), KANCHIKACHERLA",social services urban rural andhra pradesh adults children women youth
LOK KALYAN BAHUUDDESHIY GRAMIN VIKAS SANSTHA WARDHA,social services urban rural maharashtra adults
LOKMUDRA FOUNDATION,social services urban rural maharashtra adults children women
Lokrang Foundation,social services urban rural maharashtra adults children youth
Magnate Institute of Technology Sangnak Sevabhavi Sanstha,social services urban rural maharashtra adults children women youth
MAHAN SANGHA,social services rural odisha adults animal lovers animals birds artisans artists children disaster affected rural poor students teachers tribals women
Maharashtra Information Technology Support Center,social services urban rural maharashtra adults
MANAV KAVACH SANSTHAN,social services urban rural uttar pradesh adults
"Marg,Satya Va Jeevan Bahuuddeshiya Sevabhavi Sanstha",social services urban rural maharashtra adults children youth
"Masses Association for Self Sufficiency Economic Security, Gudur",social services urban rural telangana adults
Mata Ratneshwari Sevabhavi Shikshan Sanstha,social services urban rural maharashtra adults children elderly women youth
"MAULANA ABUL KALAM AZAD SOCIAL, EDUCATIONAL & WELFARE TRUST",education and research rural west bengal ngos
Mayur Sevabhavi Sanstha Vasmat,social services urban rural maharashtra adults women youth
Mayur Vyayam Shala Va Krida Prasarak Mandal Vasmat,social services urban rural maharashtra adults children women youth
MEDIHELP FOUNDATION,health urban rural all india accident victims adolescents adults armed forces beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected domestic workers elderly ethnic groups factory workers farmers farm labourers girl child healthcare workers hiv homeless medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged policemen refugees rickshawallahs drivers rural poor slum dwellers street children tribals truckers urban poor volunteers women
MOLLARPUR NAI SUVA,social services urban rural west bengal adults
MOTHER FOUNDATION CHARITABLE TRUST,social services rural maharashtra adults
Narikeldaha Prayas,health urban rural west bengal adolescents adults elderly girl child healthcare workers ngos patients rural poor women
Narkeldanga Educational Environmental Development Society,social services urban west bengal adults children women youth
National Education And Welfare Society,social services urban rural maharashtra adults women youth
National Human Rural Development Institute (N.H.R.D.I),social services urban rural odisha adults
National Institute For Community Development & Research,social services urban rural maharashtra adults children women youth
NAV YUVA,social services urban rural jharkhand youth
Navi Ummed Social Organization Pandharkawada,social services urban rural maharashtra adults
Navinbhai Shah Pratishthan,social services urban rural maharashtra adults children women youth
NAYANA TRUST,social services urban rural uttar pradesh adults children women youth
Nehru Yuva Gram Vikas Yuva Kalyan Seva Sansthan,social services urban rural uttar pradesh adults children women youth
NEYYAR WELFARE SOCIETY,social services urban rural jharkhand adults
NIR IDEAL HOME FOR MENTALLY RETARDED AND ASSOCIATED DISABILITY,social services urban rural west bengal mentally challenged physically challenged
Niragas Foundation,social services urban rural maharashtra adults women youth
Nirdhar Pratishtan,social services urban rural maharashtra adults children women youth
"NIRMAN, SAMBALPUR",social services urban rural odisha adults
OMKAR BAHUUDDESHIYA SEVABHAVI SANSTHA,business and professional associations unions urban rural maharashtra adults women youth
Parivartan Yuvak Vikas Mandal,social services urban rural maharashtra adults beggars children construction workers domestic workers elderly girl child hiv youth
Paschim Sridharkati Janakalyan Sangha,social services urban rural west bengal adults
PEHLA QADAM,social services urban rural west bengal adults children women youth
PEOPLES ASSOCIATION FOR DEVELOPMENT,social services rural uttar pradesh adults
Peoples Bahuuddeshiya Gramvikas Seva Pratisthan Pedgaon,social services urban rural maharashtra adults children women youth
PRAGATI - SANDESH,social services urban rural jharkhand adults
PRAGATI BAHUUDDESHIYA SANSTHA,social services rural maharashtra rural poor women
Pratham Infotech Foundation,social services urban rural all india children
Premsagar Yuvak Samajik Sanstha,education and research rural maharashtra children farmers farm labourers ngos tribals
Pruthvi Foundation Social Organisation,education and research urban rural karnataka adolescents children construction workers farmers farm labourers girl child hiv mentally challenged ngos street children women youth
Pruthvi Sangram Gram Vikas Sanstha,social services urban rural maharashtra adults women youth
Purbachal Ananda Foundation,social services urban rural west bengal adults
PURODHA,social services urban rural all india adults
PURVANCHAL SEWA SANSTHAN,social services urban rural uttar pradesh adults children women youth
RAHBAR (Educational And Social Welfare Society),social services urban rural jharkhand adults
RAJRAPPA GRAMIN VIKAS SANSTHA,education and research urban rural jharkhand adolescents adults children dalits elderly farmers farm labourers girl child ngos rural poor students tribals volunteers women youth
Rajvilas Vyayamshala Va Krida Mandal,social services urban rural maharashtra adults women youth
Roshani Bahuuddeshiya Sanstha,social services urban rural maharashtra adults children women youth
Rostrum India Social Organization,social services urban rural maharashtra adults children women
Rural Association for Womens Alligatory Tribute,social services rural delhi women
SADHAN,social services urban rural jharkhand adults
SAFINA CHARITABLE TRUST DEVGAD,social services urban rural maharashtra adults children women youth
Sahara Jan Kalyan Samiti,social services urban rural madhya pradesh adults
SAHAYA,culture and recreation rural odisha adults
Sahityratna Lokshahir Annabhau Sathe Bahuuddeshiya Samajik Sanstha,social services urban rural maharashtra adults women youth
Sahyadri Yuva Krushi va Gramin Vikas Pratishthan,social services urban rural maharashtra adults children women youth
Saichaya Gramin Swayamsevi Bahuddeshiya Vikas Sanstha,social services urban rural all india adults women youth
SAKHARAM BAPU BAHUUDDESHIYA SEVABHAVI SANSTHA,social services urban rural maharashtra adults women youth
Samagra Lokhit Sewashram,social services urban rural uttar pradesh children hiv plants women
SAMAJ KALYAN MAHILA UNNYAN KENDRA,social services urban rural west bengal adults
Samaj Vikas Sanstha,social services rural maharashtra adults children women youth
SAMAJIK KRANTI BAHUDDESHIYA SANSTHA,social services urban rural maharashtra adults women youth
SAMARPAN MANAV KALYAN SAMITI,social services urban rural uttar pradesh adults children women youth
SAMPADA ENTREPRENEURSHIP AND LIVELIHOODS FOUNDATION,social services urban rural maharashtra adults
SAMRUDDHI YUVA MANCH,environment rural maharashtra adults
Sandhya Seva Sansthan,social services urban rural uttar pradesh animal lovers animals birds artisans artists children dalits elderly farmers farm labourers healthcare workers hiv students teachers women youth
Sant Dnyaneshwar Krushi Vidnyan Mandal,social services urban rural maharashtra adults children women youth
SAPTASHRUNGI BAHUUDDESHIYA MAHILA SANSTHA,social services urban rural maharashtra adults children farmers farm labourers women youth
SARASWATI PRATISHTHAN,social services urban rural maharashtra adults
"SARATHI YOUTH DEVELOPMENT ORGANISATION, SOLAPUR",social services urban rural maharashtra adolescents adults factory workers hiv ngos rural poor students urban poor volunteers youth
SARDA Agriculture Research and Development Agency,social services rural all india farmers farm labourers ngos rural poor tribals volunteers
Sarthak Foundation,social services urban rural uttar pradesh adults women youth
SARV SAMARPIT SANSTHA,social services urban rural all india adults
Satyam Sewa Sansthan,social services urban rural uttar pradesh children girl child students women youth
